,0
6-117_split_0,599
6-117_split_3,48
6-118_split_0,430
6-118_split_2,945
6-121_split_1,1254
6-121_split_2,40
6-122_split_1,801
6-122_split_2,204
6-122_split_3,488
6-127_split_0,1221
6-127_split_2,309
6-127_split_4,54
6-128_split_2,885
6-129_split_0,838
6-129_split_3,528
6-130_split_1,159
6-130_split_2,153
6-130_split_4,1030
6-131_split_1,982
6-133_split_3,354
6-135_split_1,346
6-135_split_2,952
6-137_split_2,264
6-137_split_3,1428
6-138_split_2,257
6-138_split_3,546
6-139_split_1,394
6-139_split_3,482
6-140_split_2,306
6-140_split_4,234
6-142_split_0,546
6-142_split_3,235
6-143_split_1,786
6-143_split_4,190
6-145_split_1,367
6-145_split_3,577
6-147_split_3,434
6-147_split_4,630
6-148_split_1,998
6-149_split_0,390
6-149_split_3,1158
6-150_split_2,278
6-150_split_3,95
6-151_split_0,584
6-151_split_2,307
6-152_split_2,838
6-152_split_3,252
6-153_split_2,283
6-153_split_3,377
6-154_split_0,856
6-154_split_4,36
6-155_split_0,24
6-155_split_1,106
6-155_split_4,18
6-157_split_2,622
6-158_split_2,447
6-158_split_4,607
6-160_split_2,112
6-160_split_3,347
6-161_split_1,322
6-161_split_3,480
6-163_split_0,366
6-163_split_4,191
6-165_split_1,445
6-165_split_3,357
6-166_split_1,846
6-166_split_3,439
6-167_split_1,288
6-169_split_2,257
6-169_split_4,609
6-170_split_2,427
6-170_split_4,305
6-171_split_0,248
6-171_split_1,168
6-172_split_3,875
6-172_split_4,156
6-173_split_1,180
6-173_split_2,927
6-174_split_1,189
6-174_split_2,94
6-174_split_3,201
6-175_split_2,242
6-175_split_4,296
6-177_split_3,79
6-177_split_4,911
6-178_split_0,673
6-178_split_4,842
6-179_split_1,450
6-179_split_2,304
6-180_split_3,432
6-180_split_4,796
6-183_split_1,324
6-183_split_4,655
6-184_split_1,233
6-184_split_4,844
6-185_split_1,422
6-185_split_4,828
6-187_split_1,763
6-187_split_3,235
6-189_split_2,351
6-190_split_3,1071
6-190_split_4,215
6-192_split_2,124
6-192_split_4,657
6-193_split_1,515
6-193_split_4,606
6-196_split_3,261
6-198_split_0,64
6-198_split_3,264
7-1_split_0,110
7-4_split_0,124
7-4_split_2,12
7-5_split_3,27
7-5_split_4,107
7-6_split_1,30
7-6_split_2,63
