,mean,min,max
458,1670.5,1277.0,2064.0
459,4053.5,2570.0,5537.0
460,2822.5,2492.0,3153.0
461,4412.0,2438.0,6386.0
462,2609.5,1698.0,3521.0
463,4980.0,4043.0,5917.0
464,4123.0,3098.0,5148.0
465,2290.0,694.0,3886.0
466,2225.5,1747.0,2704.0
467,1693.0,551.0,2835.0
468,4989.0,3152.0,6826.0
469,1874.0,547.0,3201.0
470,1209.5,161.0,2258.0
471,62.5,0.0,125.0
472,2667.5,2309.0,3026.0
473,1698.5,1469.0,1928.0
474,4932.5,4826.0,5039.0
475,4948.0,3179.0,6717.0
476,3661.0,836.0,6486.0
477,1154.0,0.0,2308.0
478,765.5,387.0,1144.0
479,2012.0,1027.0,2997.0
480,1245.0,294.0,2196.0
481,77.5,0.0,155.0
482,1325.0,187.0,2463.0
483,4982.5,2353.0,7612.0
484,44.0,0.0,88.0
485,4956.0,2658.0,7254.0
486,3855.0,2257.0,5453.0
487,2677.0,1127.0,4227.0
488,1179.5,418.0,1941.0
489,164.0,57.0,271.0
490,205.5,117.0,294.0
491,266.0,59.0,473.0
492,3049.5,2204.0,3895.0
493,4990.0,3745.0,6235.0
494,4983.0,4249.0,5717.0
495,1848.0,1119.0,2577.0
496,1263.5,822.0,1705.0
497,2941.5,2326.0,3557.0
498,3782.0,3764.0,3800.0
499,3475.5,112.0,6839.0
500,1988.0,1696.0,2280.0
501,3427.0,1682.0,5172.0
502,3964.0,2713.0,5215.0
503,539.0,161.0,917.0
504,4970.5,4002.0,5939.0
505,4961.0,2637.0,7285.0
506,1645.0,1462.0,1828.0
507,4989.0,556.0,9422.0
508,2062.0,665.0,3459.0
509,2767.0,1328.0,4206.0
510,424.5,0.0,849.0
511,824.0,494.0,1154.0
512,2566.0,1748.0,3384.0
513,388.0,299.0,477.0
514,3071.5,1221.0,4922.0
515,566.5,122.0,1011.0
516,155.5,59.0,252.0
517,971.5,579.0,1364.0
518,760.5,464.0,1057.0
519,4531.5,1257.0,7806.0
520,3690.0,3371.0,4009.0
521,746.5,163.0,1330.0
522,3086.5,857.0,5316.0
523,4989.0,4234.0,5744.0
524,1043.0,554.0,1532.0
525,4331.5,121.0,8542.0
526,2362.5,1658.0,3067.0
527,1583.5,171.0,2996.0
528,1579.5,731.0,2428.0
529,2190.0,451.0,3929.0
530,44.0,0.0,88.0
531,4965.0,2891.0,7039.0
532,4028.5,2845.0,5212.0
533,1014.0,156.0,1872.0
534,3236.0,1265.0,5207.0
535,4986.0,4576.0,5396.0
536,487.5,15.0,960.0
537,4783.0,1093.0,8473.0
538,3272.0,1168.0,5376.0
539,4982.5,1258.0,8707.0
540,1069.5,814.0,1325.0
541,4986.0,944.0,9028.0
542,823.0,436.0,1210.0
543,2059.5,251.0,3868.0
544,4983.0,2154.0,7812.0
545,27.0,0.0,54.0
546,45.5,0.0,91.0
547,42.0,0.0,84.0
548,1075.0,177.0,1973.0
549,4019.0,2016.0,6022.0
550,1625.0,1314.0,1936.0
551,1801.0,845.0,2757.0
552,1784.0,180.0,3388.0
553,69.5,18.0,121.0
554,3595.0,568.0,6622.0
555,4606.0,3459.0,5753.0
556,1360.5,262.0,2459.0
557,3019.5,1014.0,5025.0
558,2576.5,1612.0,3541.0
559,721.0,340.0,1102.0
560,4978.0,721.0,9235.0
561,2660.5,2076.0,3245.0
562,3717.0,518.0,6916.0
563,2882.0,1519.0,4245.0
564,1365.0,532.0,2198.0
565,226.0,174.0,278.0
566,3045.5,1273.0,4818.0
567,4971.5,2620.0,7323.0
568,130.5,72.0,189.0
569,4988.5,4498.0,5479.0
570,4987.5,1681.0,8294.0
571,63.0,0.0,126.0
572,871.0,337.0,1405.0
573,4987.5,2944.0,7031.0
574,42.0,0.0,84.0
575,46.5,0.0,93.0
576,2150.0,1701.0,2599.0
577,904.0,508.0,1300.0
578,3141.5,1269.0,5014.0
579,950.5,849.0,1052.0
580,4989.5,2056.0,7923.0
581,873.5,269.0,1478.0
582,3655.0,3317.0,3993.0
583,2714.0,1149.0,4279.0
584,4806.5,4237.0,5376.0
585,515.5,251.0,780.0
586,4495.0,3032.0,5958.0
587,1677.0,660.0,2694.0
588,4594.0,2434.0,6754.0
589,1628.5,889.0,2368.0
590,1123.0,553.0,1693.0
591,477.5,180.0,775.0
592,760.5,25.0,1496.0
593,945.5,296.0,1595.0
594,3278.0,156.0,6400.0
595,161.0,94.0,228.0
596,4978.0,1032.0,8924.0
597,4840.5,3852.0,5829.0
598,44.5,21.0,68.0
599,37.5,16.0,59.0
600,69.5,36.0,103.0
601,3391.5,3206.0,3577.0
602,726.5,428.0,1025.0
603,3719.5,2516.0,4923.0
604,709.5,450.0,969.0
605,4960.5,2438.0,7483.0
606,1284.0,230.0,2338.0
607,4933.5,2990.0,6877.0
608,2408.0,107.0,4709.0
609,61.5,0.0,123.0
610,1604.5,656.0,2553.0
611,1763.5,340.0,3187.0
612,545.5,295.0,796.0
613,1944.0,1081.0,2807.0
614,60.5,42.0,79.0
615,3987.5,2040.0,5935.0
616,2355.5,1907.0,2804.0
617,153.0,20.0,286.0
618,2641.5,152.0,5131.0
619,4127.0,4113.0,4141.0
620,3639.0,2891.0,4387.0
621,506.5,347.0,666.0
622,3653.5,383.0,6924.0
623,910.5,510.0,1311.0
624,2737.0,1320.0,4154.0
625,1473.0,741.0,2205.0
626,869.5,407.0,1332.0
627,2736.0,910.0,4562.0
628,4359.5,3584.0,5135.0
629,46.5,0.0,93.0
630,2349.5,699.0,4000.0
631,2902.0,1195.0,4609.0
632,4312.0,1637.0,6987.0
633,2603.5,1226.0,3981.0
634,4992.5,3022.0,6963.0
635,4972.5,3121.0,6824.0
636,40.0,0.0,80.0
637,1358.5,972.0,1745.0
638,4985.0,3198.0,6772.0
639,28.0,0.0,56.0
640,4002.5,1445.0,6560.0
641,256.0,51.0,461.0
642,265.0,228.0,302.0
643,3391.5,846.0,5937.0
644,1525.5,832.0,2219.0
645,1640.0,1093.0,2187.0
646,2905.0,1843.0,3967.0
647,1898.0,844.0,2952.0
648,1424.0,974.0,1874.0
649,2986.5,703.0,5270.0
650,1134.0,937.0,1331.0
651,229.5,100.0,359.0
652,2704.0,1419.0,3989.0
653,2216.0,1585.0,2847.0
654,1425.5,576.0,2275.0
655,238.0,191.0,285.0
656,3219.0,2073.0,4365.0
657,3194.0,976.0,5412.0
658,448.5,265.0,632.0
659,2815.5,2530.0,3101.0
660,78.0,0.0,156.0
661,3160.0,1719.0,4601.0
662,529.5,78.0,981.0
663,1269.5,908.0,1631.0
664,196.5,49.0,344.0
665,1255.0,446.0,2064.0
666,4973.0,951.0,8995.0
667,4962.0,1909.0,8015.0
668,1016.5,680.0,1353.0
669,2945.5,803.0,5088.0
670,2130.5,1651.0,2610.0
671,4985.5,3780.0,6191.0
672,2474.5,2358.0,2591.0
673,2889.0,1834.0,3944.0
674,1492.0,28.0,2956.0
675,3369.0,1690.0,5048.0
676,4985.0,4092.0,5878.0
677,46.0,0.0,92.0
678,28.5,10.0,47.0
679,94.0,80.0,108.0
680,4973.5,1518.0,8429.0
681,2283.0,1696.0,2870.0
682,4983.5,3606.0,6361.0
683,1693.5,440.0,2947.0
684,1284.5,976.0,1593.0
685,4980.5,3532.0,6429.0
686,3302.5,3141.0,3464.0
687,1891.0,1251.0,2531.0
688,2615.5,404.0,4827.0
689,4982.5,1787.0,8178.0
690,4979.5,2899.0,7060.0
691,3216.5,794.0,5639.0
692,35.5,24.0,47.0
693,2855.0,746.0,4964.0
694,3401.0,270.0,6532.0
695,1115.0,517.0,1713.0
696,4995.0,2767.0,7223.0
697,1742.0,1213.0,2271.0
698,1515.0,935.0,2095.0
699,1778.0,1552.0,2004.0
700,2376.0,2127.0,2625.0
701,3131.5,2254.0,4009.0
702,767.0,505.0,1029.0
703,3466.5,451.0,6482.0
704,4502.0,1506.0,7498.0
705,4170.0,3152.0,5188.0
706,1456.5,1438.0,1475.0
707,633.0,575.0,691.0
708,1849.0,1743.0,1955.0
709,1228.5,289.0,2168.0
710,44.5,24.0,65.0
711,3021.5,1386.0,4657.0
712,3699.0,350.0,7048.0
713,1222.0,824.0,1620.0
714,3380.0,401.0,6359.0
715,4980.5,3679.0,6282.0
716,1707.0,860.0,2554.0
717,2797.0,364.0,5230.0
718,530.5,457.0,604.0
719,2602.5,1100.0,4105.0
720,4956.5,1912.0,8001.0
721,1432.0,1277.0,1587.0
722,4092.5,1459.0,6726.0
723,4974.0,4774.0,5174.0
724,1844.0,647.0,3041.0
725,3170.5,498.0,5843.0
726,879.5,620.0,1139.0
727,980.0,346.0,1614.0
728,2141.0,1336.0,2946.0
729,4978.5,1358.0,8599.0
730,2341.5,2286.0,2397.0
731,668.0,140.0,1196.0
732,4585.0,2905.0,6265.0
733,2426.0,818.0,4034.0
734,2172.0,1705.0,2639.0
735,1654.0,965.0,2343.0
736,1317.5,612.0,2023.0
737,4965.5,1002.0,8929.0
738,4980.0,4264.0,5696.0
739,4025.5,1443.0,6608.0
740,183.5,19.0,348.0
741,382.0,322.0,442.0
742,4947.0,3108.0,6786.0
743,732.5,62.0,1403.0
744,3306.0,1049.0,5563.0
745,2874.5,1557.0,4192.0
746,4992.5,2995.0,6990.0
747,536.0,132.0,940.0
748,4185.5,3925.0,4446.0
749,4979.0,3137.0,6821.0
750,110.5,33.0,188.0
751,3439.0,2897.0,3981.0
752,3163.5,3097.0,3230.0
753,34.5,21.0,48.0
754,3400.5,111.0,6690.0
755,4919.0,1931.0,7907.0
756,3633.0,2270.0,4996.0
757,35.0,17.0,53.0
758,44.0,22.0,66.0
759,241.0,167.0,315.0
760,589.0,0.0,1178.0
761,4989.5,3732.0,6247.0
762,515.5,0.0,1031.0
763,4785.5,1232.0,8339.0
764,1859.5,1640.0,2079.0
765,48.5,35.0,62.0
766,4986.0,1613.0,8359.0
767,3566.5,1380.0,5753.0
768,2282.5,1516.0,3049.0
769,1544.5,1219.0,1870.0
770,2645.5,1117.0,4174.0
771,4965.5,4616.0,5315.0
772,2046.5,1102.0,2991.0
773,615.0,222.0,1008.0
774,1357.5,1303.0,1412.0
775,4016.0,2820.0,5212.0
776,38.5,27.0,50.0
777,590.5,256.0,925.0
778,3728.0,3629.0,3827.0
779,4973.0,332.0,9614.0
780,107.5,41.0,174.0
781,548.5,376.0,721.0
782,3128.5,2502.0,3755.0
783,3157.0,2262.0,4052.0
784,4971.0,2329.0,7613.0
785,2552.0,2393.0,2711.0
786,165.5,0.0,331.0
787,3439.0,2828.0,4050.0
788,156.0,0.0,312.0
789,1546.5,823.0,2270.0
790,275.0,100.0,450.0
791,1082.5,839.0,1326.0
792,2097.5,1183.0,3012.0
793,76.5,28.0,125.0
794,3053.5,838.0,5269.0
795,4992.0,4703.0,5281.0
796,2692.0,2280.0,3104.0
797,596.0,195.0,997.0
798,4962.5,2667.0,7258.0
799,2425.0,849.0,4001.0
800,2136.5,1892.0,2381.0
801,4650.5,3547.0,5754.0
802,1304.5,10.0,2599.0
803,823.0,807.0,839.0
804,66.5,35.0,98.0
805,4975.0,3652.0,6298.0
806,516.5,282.0,751.0
807,4974.0,1291.0,8657.0
808,1663.5,1436.0,1891.0
809,4982.0,4220.0,5744.0
810,130.5,111.0,150.0
811,4984.5,4011.0,5958.0
812,685.5,505.0,866.0
813,3498.0,1486.0,5510.0
814,4016.5,3022.0,5011.0
815,4981.0,3573.0,6389.0
816,145.5,100.0,191.0
817,229.5,66.0,393.0
818,4952.0,4946.0,4958.0
819,2616.0,1116.0,4116.0
820,4960.5,3669.0,6252.0
821,2418.5,1273.0,3564.0
822,1263.0,205.0,2321.0
823,176.5,97.0,256.0
824,482.0,36.0,928.0
825,4972.5,2221.0,7724.0
826,3713.0,2371.0,5055.0
827,281.5,88.0,475.0
828,735.0,253.0,1217.0
829,2643.5,2381.0,2906.0
830,4975.5,3643.0,6308.0
831,1626.5,185.0,3068.0
832,1147.0,204.0,2090.0
833,138.0,110.0,166.0
834,3480.5,2844.0,4117.0
835,1572.0,630.0,2514.0
836,4086.0,2278.0,5894.0
837,4988.0,3625.0,6351.0
838,1818.0,853.0,2783.0
839,2386.5,2245.0,2528.0
840,1623.5,1197.0,2050.0
841,4985.0,2514.0,7456.0
842,238.0,76.0,400.0
843,489.5,32.0,947.0
844,4287.5,2342.0,6233.0
845,4977.0,995.0,8959.0
846,4987.5,3432.0,6543.0
847,3391.5,2924.0,3859.0
848,1071.0,449.0,1693.0
849,3666.5,2244.0,5089.0
850,4989.5,1019.0,8960.0
851,725.0,297.0,1153.0
852,4981.5,2971.0,6992.0
853,2949.0,196.0,5702.0
854,1095.0,210.0,1980.0
855,4982.0,1575.0,8389.0
856,876.0,801.0,951.0
857,523.5,399.0,648.0
858,4974.0,3776.0,6172.0
859,1670.5,1310.0,2031.0
860,1562.0,985.0,2139.0
861,4962.0,3729.0,6195.0
862,4983.5,1230.0,8737.0
863,3025.5,1094.0,4957.0
864,37.0,18.0,56.0
