,mean,min,max
33-191,1997.0,606.0,4273.0
33-192,1997.2,201.0,7135.0
33-193,1997.2,52.0,4257.0
33-194,1997.4,823.0,4672.0
33-195,1997.0,407.0,6584.0
33-196,1996.6,181.0,7394.0
33-197,1997.4,215.0,6139.0
33-198,1997.0,839.0,3096.0
34--1,1997.2,783.0,3848.0
34-0,1254.8,125.0,3148.0
34-1,1257.2,92.0,3301.0
34-2,1372.8,73.0,2470.0
34-3,702.0,377.0,1137.0
34-4,1348.6,225.0,3286.0
34-5,1269.8,460.0,2926.0
34-6,1368.6,449.0,3758.0
34-7,1261.0,141.0,2146.0
34-8,1374.6,51.0,3830.0
34-9,1260.2,338.0,2220.0
34-10,1280.2,169.0,3219.0
34-11,1241.6,282.0,3287.0
34-12,1280.2,436.0,2505.0
34-13,1243.6,76.0,2557.0
34-14,1368.2,294.0,3043.0
34-15,1245.8,330.0,3010.0
34-16,809.8,126.0,2153.0
34-17,1251.0,222.0,3916.0
34-18,1263.8,203.0,3648.0
34-19,1238.4,625.0,1857.0
34-20,963.0,538.0,1464.0
34-21,953.6,383.0,1690.0
34-22,951.2,297.0,1475.0
34-23,967.0,383.0,2501.0
34-24,945.6,47.0,1765.0
34-25,952.8,221.0,2717.0
34-26,834.6,134.0,1951.0
34-27,944.6,281.0,2439.0
34-28,946.4,220.0,2148.0
34-29,950.6,178.0,1215.0
34-30,838.6,158.0,2604.0
34-31,955.8,125.0,1861.0
34-32,863.2,402.0,1684.0
34-33,948.0,139.0,1794.0
34-34,947.4,287.0,2246.0
34-35,938.8,242.0,2246.0
34-36,846.8,538.0,1220.0
34-37,847.6,53.0,1661.0
34-38,847.4,0.0,2092.0
34-39,944.4,293.0,2490.0
34-40,861.6,211.0,2040.0
34-41,849.6,486.0,1371.0
34-42,942.4,156.0,1721.0
34-43,956.8,435.0,1731.0
34-44,450.8,88.0,825.0
34-45,859.8,141.0,1332.0
34-46,848.6,194.0,1726.0
34-47,957.4,83.0,3149.0
34-48,959.4,0.0,2014.0
34-49,959.0,349.0,1246.0
34-50,945.4,62.0,2932.0
34-51,948.8,250.0,2871.0
34-52,972.2,325.0,1958.0
34-53,841.2,97.0,2182.0
34-54,952.6,273.0,2308.0
34-55,857.8,147.0,2369.0
34-56,950.8,655.0,1300.0
34-57,964.6,166.0,1788.0
34-58,954.4,209.0,1996.0
34-59,852.2,193.0,1237.0
34-60,1011.6,83.0,3212.0
34-61,1017.8,231.0,1538.0
34-62,1017.8,0.0,1469.0
34-63,1008.0,138.0,2117.0
34-64,993.6,106.0,3251.0
34-65,1015.6,608.0,1475.0
34-66,798.8,137.0,1973.0
34-67,1004.2,499.0,1356.0
34-68,877.4,352.0,2075.0
34-69,1003.2,230.0,1932.0
34-70,887.4,441.0,1741.0
34-71,917.0,164.0,2651.0
34-72,72.2,2.0,197.0
34-73,1010.2,312.0,1769.0
34-74,921.8,413.0,1657.0
34-75,1111.8,346.0,1732.0
34-76,1035.4,136.0,1893.0
34-77,1025.8,287.0,2541.0
34-78,1017.6,46.0,2857.0
34-79,1020.6,276.0,2649.0
34-80,1003.0,251.0,1727.0
34-81,36.8,0.0,166.0
34-82,1006.2,129.0,1824.0
34-83,1039.2,224.0,1840.0
34-84,1000.8,430.0,1511.0
34-85,996.4,133.0,2507.0
34-86,1005.4,150.0,3006.0
34-87,37.6,0.0,97.0
34-88,37.4,0.0,127.0
34-89,1002.4,69.0,2056.0
34-90,1008.4,121.0,2615.0
34-91,1000.4,318.0,1564.0
34-92,1000.4,157.0,3893.0
34-93,997.8,170.0,2411.0
34-94,1010.6,239.0,2643.0
34-95,1003.2,167.0,1957.0
34-96,1005.4,116.0,1983.0
34-97,37.2,0.0,111.0
34-98,1000.8,522.0,2288.0
34-99,1001.2,118.0,2161.0
34-100,606.8,64.0,1547.0
34-101,14.4,0.0,42.0
34-102,606.2,89.0,1691.0
34-103,614.8,14.0,1811.0
34-104,613.2,64.0,1844.0
34-105,605.6,202.0,1149.0
34-106,609.4,99.0,1637.0
34-107,629.8,191.0,1175.0
34-108,609.2,0.0,1858.0
34-109,612.4,291.0,870.0
34-110,613.6,183.0,1369.0
34-111,618.0,81.0,1459.0
34-112,606.4,98.0,1485.0
34-113,16.0,0.0,36.0
34-114,608.0,0.0,1346.0
34-115,581.6,107.0,1248.0
34-116,604.6,146.0,1104.0
34-117,614.6,63.0,1640.0
34-118,604.8,23.0,1561.0
34-119,607.8,96.0,2112.0
34-120,1295.8,60.0,2154.0
34-121,1346.4,373.0,3509.0
34-122,1299.2,516.0,2329.0
34-123,1293.6,396.0,2572.0
34-124,1303.2,78.0,2260.0
34-125,1304.8,0.0,2683.0
34-126,1329.0,71.0,2819.0
34-127,1327.8,747.0,2578.0
34-128,1303.0,24.0,5821.0
34-129,1295.8,34.0,2574.0
34-130,1302.4,449.0,2498.0
34-131,1291.2,165.0,3041.0
34-132,1304.4,440.0,2919.0
34-133,1312.6,4.0,1965.0
34-134,1317.6,391.0,2286.0
34-135,1312.4,160.0,3321.0
34-136,1311.4,18.0,3985.0
34-137,1297.8,270.0,3275.0
34-138,1307.2,34.0,3753.0
34-139,1179.8,179.0,2303.0
34-140,849.0,260.0,1758.0
34-141,860.6,184.0,1374.0
34-142,855.8,217.0,1740.0
34-143,834.8,132.0,1941.0
34-144,953.4,195.0,1505.0
34-145,835.8,49.0,1389.0
34-146,953.6,503.0,2209.0
34-147,840.4,399.0,1963.0
34-148,1030.2,143.0,2018.0
34-149,957.2,485.0,1685.0
34-150,855.6,239.0,1434.0
34-151,850.4,150.0,2164.0
34-152,871.2,311.0,1325.0
34-153,951.2,484.0,1943.0
34-154,837.8,96.0,1581.0
34-155,854.8,277.0,1764.0
34-156,22.0,0.0,73.0
34-157,842.4,62.0,1764.0
34-158,57.4,0.0,131.0
34-159,110.6,2.0,224.0
34-160,962.4,0.0,1982.0
34-161,961.6,164.0,1970.0
34-162,945.2,266.0,1705.0
34-163,988.0,0.0,3225.0
34-164,918.4,350.0,1407.0
34-165,930.4,273.0,1671.0
34-166,944.4,169.0,1900.0
34-167,917.0,69.0,2505.0
34-168,935.2,652.0,1221.0
34-169,945.6,135.0,1846.0
34-170,943.4,174.0,2158.0
34-171,926.6,513.0,1934.0
34-172,946.0,175.0,1981.0
34-173,919.4,195.0,2128.0
34-174,940.6,35.0,2098.0
34-175,945.0,335.0,1999.0
34-176,931.8,261.0,2479.0
34-177,927.0,220.0,2145.0
34-178,941.6,113.0,2544.0
34-179,87.6,0.0,208.0
34-180,855.2,107.0,1682.0
34-181,461.8,214.0,777.0
34-182,845.0,31.0,1752.0
34-183,955.6,93.0,3197.0
34-184,834.4,72.0,1838.0
34-185,880.2,441.0,1498.0
34-186,958.4,0.0,2132.0
34-187,958.2,398.0,2468.0
34-188,949.8,216.0,1961.0
34-189,937.4,215.0,3128.0
34-190,872.8,170.0,2415.0
34-191,831.0,67.0,2210.0
34-192,874.2,148.0,2174.0
34-193,954.4,43.0,2261.0
34-194,829.0,81.0,2692.0
34-195,863.0,81.0,1682.0
34-196,875.0,171.0,1982.0
34-197,963.2,202.0,1537.0
34-198,950.8,619.0,1520.0
35--1,965.2,182.0,1795.0
35-0,376.8,92.0,701.0
35-1,1995.4,337.0,5074.0
35-2,787.6,355.0,1498.0
35-3,776.8,76.0,2127.0
35-4,778.4,301.0,1392.0
35-5,1345.8,271.0,2805.0
35-6,1994.6,336.0,3863.0
35-7,1994.0,640.0,4521.0
35-8,121.8,66.0,208.0
35-9,1993.8,914.0,4672.0
35-10,786.6,26.0,1874.0
35-11,1418.6,150.0,3495.0
35-12,1994.0,244.0,6560.0
35-13,791.6,57.0,3178.0
35-14,1993.4,189.0,5291.0
35-15,773.8,244.0,2116.0
35-16,782.6,376.0,1417.0
35-17,1994.4,623.0,3285.0
35-18,784.4,368.0,1598.0
35-19,473.8,39.0,1538.0
35-20,456.2,130.0,1187.0
35-21,505.4,118.0,1149.0
35-22,433.6,70.0,1414.0
35-23,449.8,133.0,797.0
35-24,444.6,54.0,1017.0
35-25,460.8,141.0,592.0
35-26,481.4,69.0,1147.0
35-27,57.2,19.0,126.0
35-28,453.6,136.0,1148.0
35-29,445.8,8.0,1233.0
35-30,441.4,106.0,1263.0
35-31,444.2,88.0,1057.0
35-32,470.6,38.0,916.0
35-33,444.6,33.0,968.0
35-34,449.0,77.0,890.0
35-35,27.2,5.0,56.0
35-36,449.8,376.0,534.0
35-37,444.2,102.0,830.0
35-38,443.6,111.0,835.0
35-39,450.4,127.0,955.0
35-40,630.6,115.0,1213.0
35-41,664.6,99.0,1657.0
35-42,657.0,12.0,1844.0
35-43,644.0,133.0,1373.0
35-44,629.8,118.0,1163.0
35-45,636.2,85.0,1624.0
35-46,633.2,159.0,1581.0
35-47,637.6,75.0,1741.0
35-48,638.0,160.0,1898.0
35-49,637.0,256.0,1298.0
35-50,649.4,407.0,916.0
35-51,636.2,84.0,1204.0
35-52,631.8,58.0,1308.0
35-53,639.4,233.0,1092.0
35-54,658.8,87.0,2169.0
35-55,696.0,4.0,1940.0
35-56,630.2,110.0,1022.0
35-57,634.4,196.0,1339.0
35-58,634.4,184.0,1961.0
35-59,649.8,146.0,1132.0
35-60,482.8,69.0,1082.0
35-61,486.6,83.0,1135.0
35-62,498.4,423.0,588.0
35-63,484.4,231.0,671.0
35-64,481.6,129.0,1085.0
35-65,482.8,102.0,1362.0
35-66,481.6,139.0,845.0
35-67,500.2,95.0,1468.0
35-68,483.6,25.0,1921.0
35-69,479.4,152.0,1240.0
35-70,486.8,104.0,1224.0
35-71,482.0,128.0,1353.0
35-72,482.0,379.0,720.0
35-73,477.8,4.0,972.0
35-74,481.8,14.0,1316.0
35-75,497.2,4.0,1606.0
35-76,372.4,26.0,623.0
35-77,502.8,113.0,955.0
35-78,502.8,176.0,994.0
35-79,497.4,218.0,985.0
35-80,637.2,84.0,1125.0
35-81,637.8,12.0,1259.0
35-82,688.0,421.0,858.0
35-83,629.4,165.0,1074.0
35-84,649.6,79.0,1988.0
35-85,628.6,200.0,1330.0
35-86,565.0,96.0,1623.0
35-87,638.8,344.0,1240.0
35-88,628.8,296.0,924.0
35-89,636.6,178.0,1487.0
35-90,499.4,299.0,871.0
35-91,638.4,0.0,1621.0
35-92,636.0,389.0,748.0
35-93,659.2,80.0,1190.0
35-94,636.6,143.0,1533.0
35-95,638.8,103.0,1413.0
35-96,643.4,72.0,1122.0
35-97,638.8,170.0,851.0
35-98,662.2,110.0,1358.0
35-99,383.6,111.0,783.0
35-100,863.0,167.0,1554.0
35-101,859.8,215.0,1290.0
35-102,873.2,66.0,2538.0
35-103,845.0,75.0,1230.0
35-104,853.2,109.0,1457.0
35-105,939.6,54.0,2398.0
35-106,864.4,652.0,1201.0
35-107,847.2,496.0,1576.0
35-108,849.0,127.0,1860.0
35-109,840.0,285.0,1724.0
35-110,855.6,237.0,1140.0
35-111,857.4,502.0,1680.0
35-112,880.0,168.0,2596.0
35-113,851.2,157.0,2375.0
35-114,859.0,105.0,1603.0
35-115,736.4,178.0,1907.0
35-116,851.0,313.0,2371.0
35-117,846.4,243.0,2004.0
35-118,888.8,308.0,1846.0
35-119,845.2,180.0,1653.0
35-120,900.4,207.0,2612.0
35-121,893.0,528.0,1340.0
35-122,881.4,194.0,1931.0
35-123,886.4,76.0,1818.0
35-124,898.0,161.0,1719.0
35-125,885.4,111.0,1643.0
35-126,903.6,273.0,2357.0
35-127,887.8,236.0,2731.0
35-128,895.2,400.0,1443.0
35-129,906.4,319.0,1701.0
35-130,868.2,93.0,1614.0
35-131,915.0,74.0,2227.0
35-132,894.0,129.0,1865.0
35-133,884.6,15.0,2662.0
35-134,891.6,141.0,1363.0
35-135,911.0,53.0,2170.0
35-136,924.0,69.0,1992.0
35-137,908.8,355.0,2375.0
35-138,918.2,141.0,1648.0
35-139,910.0,61.0,2795.0
35-140,1385.4,157.0,3046.0
35-141,1396.6,31.0,3325.0
35-142,1372.2,158.0,4319.0
35-143,1757.4,408.0,2928.0
35-144,1773.0,278.0,4744.0
35-145,1758.0,328.0,4200.0
35-146,759.2,355.0,1321.0
35-147,1372.2,528.0,2334.0
35-148,1372.8,545.0,2801.0
35-149,1386.6,410.0,3011.0
35-150,1371.0,296.0,3989.0
35-151,1386.2,155.0,3134.0
35-152,1382.0,329.0,3080.0
